Recipe_ID,Recipe_Name,Is_Slush,Med_Price,Large_Price,Recipe Price
1,Black Milk Tea,FALSE,10,12.5,8
2,Brown Sugar Milk Tea,FALSE,10,12.5,8
3,Caramel Milk Tea,FALSE,10,12.5,8
4,Earl Grey Milk Tea,FALSE,10,12.5,8
5,Earl Grey Milk Tea 3Js,FALSE,10,12.5,8
6,Green Milk Tea,FALSE,10,12.5,8
7,Oolong Milk Tea,FALSE,10,12.5,8
8,Pearl Milk Tea,FALSE,10,12.5,8
9,Strawberry Milk Tea,FALSE,10,12.5,8
10,Wintermelon Milk Tea,FALSE,10,12.5,8
11,Caramel Chocolate,FALSE,10,12.5,8
12,Chocolate Drink,FALSE,8,10,6
13,Coconut Milk Tea,FALSE,12.5,15,10
14,Grapefruit Green Tea,FALSE,10,12.5,8
15,Grapefruit Yogurt Drink,FALSE,10,12.5,8
16,Hibiscus Green Tea,FALSE,10,12.5,8
17,Honey Green Tea,FALSE,10,12.5,8
18,Honey Lemon Green Tea,FALSE,10,12.5,8
19,Lemon Ai-Yu White Pearls,FALSE,15,20,10
37,Crème Brulee Brown Sugar Milk Tea,FALSE,15,20,12.5
38,Crème Brulee Strawberry Latte,FALSE,10,12.5,8
39,Caramel Chocolate Slush,TRUE,15,20,10
40,Grapefruit Slush,TRUE,15,20,10
41,Honey Lemon Slush,TRUE,15,20,10
42,Lychee Slush,TRUE,15,20,10
43,Mango Milk Slush,TRUE,15,20,10
44,Matcha Milk Slush,TRUE,15,20,10
45,Milk Foam Peach Slush Star Jelly,TRUE,15,20,10
46,Passionfruit Yogurt Slush,TRUE,15,20,10
47,Peach Slush,TRUE,15,20,10
48,Strawberry Milk Slush,TRUE,15,20,10
49,Taro Milk Slush,TRUE,15,20,10
